City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Marrakesh,MA,31.6315,-8.0083,89.67,23,40,17.27,scattered clouds
80,Mahebourg,MU,-20.4081,57.7,70.25,88,20,3.44,few clouds
81,Staryy Nadym,RU,65.6118,72.6842,59.47,33,100,13.94,overcast clouds
82,Lodeynoye Pole,RU,60.726,33.5531,48.13,95,97,4.72,overcast clouds
83,Araripe,BR,-7.2125,-40.0461,77.85,55,94,9.93,overcast clouds
84,Naze,JP,28.3667,129.4833,59.92,66,100,1.54,overcast clouds
85,Fukue,JP,32.6881,128.8419,68.61,75,100,11.56,overcast clouds
86,Avarua,CK,-21.2078,-159.775,71.65,100,100,2.3,overcast clouds
87,Leh,IN,34.1667,77.5833,52.79,31,27,5.66,scattered clouds
88,Kapaa,US,22.0752,-159.319,76.98,75,100,12.66,overcast clouds
89,Pato Branco,BR,-26.2286,-52.6706,66.13,76,99,4.38,overcast clouds
90,Constitucion,CL,-35.3333,-72.4167,54.32,52,100,9.35,overcast clouds
91,Elko,US,41.0002,-115.5012,75.22,16,100,11.99,overcast clouds
92,Nosy Varika,MG,-20.5833,48.5333,70.16,89,66,7.87,light rain
93,Esperance,AU,-33.8667,121.9,55.0,73,0,10.8,clear sky
94,Severo-Kurilsk,RU,50.6789,156.125,41.5,89,89,1.66,overcast clouds
95,Hay River,CA,60.8156,-115.7999,58.98,47,40,6.91,scattered clouds
96,Mugur-Aksy,RU,50.35,90.5,49.73,68,0,6.53,clear sky
97,Nome,US,64.5011,-165.4064,40.15,87,100,13.8,overcast clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,54.95,62,75,6.91,broken clouds
99,Rikitea,PF,-23.1203,-134.9692,76.6,75,17,12.88,light rain
100,Kenai,US,60.5544,-151.2583,64.02,47,0,3.44,clear sky
101,Kruisfontein,ZA,-34.0033,24.7314,55.89,92,39,3.06,scattered clouds
102,Richards Bay,ZA,-28.783,32.0377,65.7,91,2,6.82,clear sky
103,Kloulklubed,PW,7.0419,134.2556,75.7,76,100,8.28,overcast clouds
104,Charters Towers,AU,-20.1,146.2667,61.27,60,0,8.41,clear sky
105,Vila Do Maio,CV,15.1333,-23.2167,79.59,81,3,11.43,clear sky
106,Westport,US,41.1415,-73.3579,81.45,81,0,12.66,clear sky
107,Auki,SB,-8.7676,160.7034,76.35,88,100,2.33,overcast clouds
108,San Jeronimo,PE,-11.9472,-75.2829,59.72,47,93,2.37,overcast clouds
109,Hervey Bay,AU,-25.2986,152.8535,61.02,94,9,3.0,clear sky
110,Yerbogachen,RU,61.2767,108.0108,33.3,63,7,4.97,clear sky
111,Thinadhoo,MV,0.5333,72.9333,83.71,69,4,11.56,clear sky
112,Ca Mau,VN,9.1769,105.15,78.26,89,100,3.71,overcast clouds
113,Donskoye,RU,45.4552,41.9741,62.73,88,8,6.89,clear sky
114,Yar-Sale,RU,66.8333,70.8333,53.65,51,88,11.16,overcast clouds
115,Nikolskoye,RU,59.7035,30.7861,51.69,97,75,4.09,broken clouds
116,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,100,20.71,overcast clouds
117,Nuuk,GL,64.1835,-51.7216,34.41,86,40,11.5,scattered clouds
118,Souillac,MU,-20.5167,57.5167,70.18,88,20,3.44,few clouds
119,Zaraza,VE,9.3503,-65.3245,93.58,32,100,5.26,overcast clouds
120,At-Bashi,KG,41.1702,75.8106,57.92,35,90,1.79,overcast clouds
121,Geraldton,AU,-28.7667,114.6,57.61,88,0,9.22,clear sky
122,Kaseda,JP,31.4167,130.3167,67.51,80,100,5.61,overcast clouds
123,Maneadero,MX,31.7167,-116.5667,68.76,59,22,9.95,few clouds
124,Beidao,CN,34.5686,105.8933,56.26,83,100,3.56,overcast clouds
125,Husavik,IS,66.0449,-17.3389,38.68,81,72,4.9,broken clouds
126,Tombouctou,ML,20.0,-3.0,98.64,12,86,6.53,overcast clouds
127,Ballina,AU,-28.8667,153.5667,60.78,94,22,7.96,few clouds
128,Muros,ES,42.7762,-9.0603,84.83,45,68,6.44,broken clouds
129,Morondava,MG,-20.2833,44.2833,74.19,58,0,13.6,clear sky
130,Lafiagi,NG,8.8667,5.4167,83.08,66,91,6.49,overcast clouds
131,Xining,CN,36.6167,101.7667,54.37,58,97,2.91,overcast clouds
132,Tautira,PF,-17.7333,-149.15,79.83,67,2,15.68,clear sky
133,Araouane,ML,18.9048,-3.5265,98.02,15,56,5.68,broken clouds
134,Imbituba,BR,-28.24,-48.6703,72.09,83,93,7.0,light rain
135,Gamba,GA,-2.65,10.0,73.2,89,20,5.48,few clouds
136,Rabo De Peixe,PT,37.8,-25.5833,63.91,82,40,10.36,scattered clouds
137,Banda Aceh,ID,5.5577,95.3222,81.93,75,100,14.47,overcast clouds
138,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.2,89,75,2.3,broken clouds
139,Jamestown,US,42.097,-79.2353,72.05,74,100,5.75,overcast clouds
140,Yaan,NG,7.3833,8.5667,77.74,78,69,10.0,broken clouds
